,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2011-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-11-02,6.537162243292273,8.935470991992322,7.38719572384425,9.390846070859476,13.135041163766825,10.46350736774645,14.268419137835965,7.265762369479643,7.81221246412013,10.342074013381843,14.076149660092184,12.457038268564625,7.4276735086323615,3.82515066248368,12.264768790820735,13.327310641510653,8.085437511440402,11.080793585766271,5.160917560493868,11.03019635478099,9.815862811135412,9.846221149726523,10.139685089440958,6.1020260568192315,7.245523477085481
2011-11-03,9.836101703529524,24.205715303336035,15.077974833599772,22.191945510123702,16.282188931048353,14.905944248250004,17.648314167649602,20.360325748458248,12.082618759273911,31.562552688589026,19.267425559177166,19.05491718903917,12.426679929973565,10.068848966061571,18.41739207862519,33.21202241870764,29.558902341573855,26.209365650351266,18.90312549608345,16.110158345698572,15.472633235284652,27.909432611455173,16.56553342456568,12.851696670249494,19.3382616825565
2011-11-04,13.3070717491166,24.458701458262194,21.35203147576888,29.29579674045062,18.275719831866578,23.83129579404537,23.04197899067563,21.321673137177672,14.5720025237474,37.11812865076776,26.10817118838088,24.539657027838587,16.008963883728136,18.36679484763997,31.714344381544727,36.64251467950655,30.014277420440887,34.17336980742711,21.443106491542217,22.050273263365035,16.383383393018793,32.74652789364354,22.788992835749458,13.681491258407311,21.999676032379764
2011-11-05,44.84938554531155,26.199246204154264,22.566365019414462,38.35270108680749,18.751333803127796,38.868792842856934,25.450407185572786,57.47845439922601,22.374095541670528,37.178845327950036,28.030865965819718,24.82300152135591,21.271075906192447,40.37659032621684,32.817364017022875,46.56969139880951,33.181664080116576,34.497192085732664,21.68597320027133,23.73010133207477,24.893837644735193,40.933159867054435,23.153292898843173,13.934477413333473,41.89450725577386
2011-11-06,45.36547730136093,26.22960454274537,22.991381759690448,39.59739296904429,18.751333803127796,39.66822909242364,32.716169555052375,63.6310776870305,40.963518205645535,37.26992034372349,28.172538212578434,24.944434875720464,26.07781284978971,40.417068111005065,45.790494041636926,51.79132563648565,41.681998885635906,34.52755042432383,21.706212092665442,27.555251994558507,40.164081956078896,46.954230354297344,23.153292898843173,25.27837660022296,58.17669618682227
2011-11-07,87.02723729460277,26.24984343513949,35.05376162657025,39.688467984817684,23.36580126898117,42.23856842647357,49.09955294807122,86.13672602926266,41.054593221418976,37.61398151442303,49.251344641027,25.33909327740529,27.099876915691453,40.417068111005065,74.31721287111196,52.88422582576675,51.54845892775657,34.588267101506055,22.16158717153253,27.605849225543786,41.78319334760637,47.197097063026455,32.86796124800814,39.061062320600755,58.4802795727336
2011-11-08,89.20291822696791,61.425038416074294,39.79978189298525,54.29082884715625,44.495204928414886,43.1088407994196,49.42337522637671,88.21121249965726,45.40595508614909,46.306585797686246,52.54016465506721,29.305916186647625,27.150474146676636,42.90645187547857,79.83231104850243,54.64500946405286,54.50333721729431,35.205553319525926,57.27606547528501,74.17554062435329,41.8742683633798,50.60735043143124,39.587273522847255,68.25566459908089,59.613657546802905
2011-11-09,89.46602382809112,62.011966295502994,51.82168397507689,54.604531679264745,44.73807163714405,57.19510990570874,56.72961538064453,127.15084146589355,79.56920544737929,52.489567424081905,53.72413986012167,30.1357107748055,49.261464087224,68.78187580132736,89.81008499879061,56.00101525445714,58.64219071188643,52.671717455628794,58.804101851039135,74.32733231730901,58.91541575920669,67.59790059627288,42.97728799885794,84.52773408393227,59.79580757834975
2011-11-10,89.47614327428819,62.03220518789712,56.122448608821756,54.63489001785585,45.072013361646604,68.7211591241451,57.83263501612261,127.9705166078543,81.49190022481815,56.53734590290059,53.74437875251577,44.51544382080907,54.078320477018316,70.55277888581053,90.78155183370708,56.00101525445714,77.86913848627543,102.93500671636038,59.49222419243834,74.6511545956145,58.966012990191906,73.36598492858954,48.623938976810074,87.91774855994291,60.19046598003456
